  0%|▎                                                                                                                 | 31/10000 [00:04<26:09,  6.35it/s]
Episode 722 | Reward: 2.00
Episode 723 | Reward: 2.00
Episode 724 | Reward: 2.00
Episode 725 | Reward: 2.00
Episode 726 | Reward: 2.00
Episode 727 | Reward: 2.00
Episode 728 | Reward: 2.00
Episode 729 | Reward: 2.00
Episode 730 | Reward: 2.00
Episode 731 | Reward: 2.00
Episode 732 | Reward: 2.00
Episode 733 | Reward: 2.00
Episode 734 | Reward: 2.00
Episode 735 | Reward: 2.00
Episode 736 | Reward: 2.00
Episode 737 | Reward: 2.00
Episode 738 | Reward: 2.00
Episode 739 | Reward: 2.00
Episode 740 | Reward: 2.00
Episode 741 | Reward: 2.00
Episode 742 | Reward: 2.00
Episode 743 | Reward: 2.00
Episode 744 | Reward: 2.00
Episode 745 | Reward: 2.00
Episode 746 | Reward: 2.00
Episode 747 | Reward: 2.00
Episode 748 | Reward: 2.00
Episode 749 | Reward: 2.00
Episode 750 | Reward: 2.00
Episode 751 | Reward: 2.00
Episode 752 | Reward: 2.00
Episode 753 | Reward: 2.00
Episode 754 | Reward: 2.00
Episode 755 | Reward: 2.00
Episode 756 | Reward: 2.00
Episode 757 | Reward: 2.00
Episode 758 | Reward: 2.00
Episode 759 | Reward: 2.00
Episode 760 | Reward: 2.00
Episode 761 | Reward: 2.00
Episode 762 | Reward: 2.00
Episode 763 | Reward: 2.00
Episode 764 | Reward: 2.00
Episode 765 | Reward: 2.00
Episode 766 | Reward: 2.00
Episode 767 | Reward: 2.00
Episode 768 | Reward: 2.00
Episode 769 | Reward: 2.00
Episode 770 | Reward: 2.00
Episode 771 | Reward: 2.00
Episode 772 | Reward: 2.00
Episode 773 | Reward: 2.00
Episode 774 | Reward: 2.00
Episode 775 | Reward: 2.00
Episode 776 | Reward: 2.00
Episode 777 | Reward: 2.00
Episode 778 | Reward: 2.00
Episode 779 | Reward: 2.00
Episode 780 | Reward: 2.00
Episode 781 | Reward: 2.00
Episode 782 | Reward: 2.00
Episode 783 | Reward: 2.00
Episode 784 | Reward: 2.00
Episode 785 | Reward: 2.00
Episode 786 | Reward: 2.00
Episode 787 | Reward: 2.00
Episode 788 | Reward: 2.00
Episode 789 | Reward: 2.00
Episode 790 | Reward: 2.00
Episode 791 | Reward: 2.00
Episode 792 | Reward: 2.00
Episode 793 | Reward: 2.00
Episode 794 | Reward: 2.00
Episode 795 | Reward: 2.00
Episode 796 | Reward: 2.00
Episode 797 | Reward: 2.00
Episode 798 | Reward: 2.00
Episode 799 | Reward: 2.00
[INFO] Saved actor checkpoint at ./saved_models_ddpg_flappy\ddpg_actor_ep800.pt
Episode 800 | Reward: 2.00
Episode 801 | Reward: 2.00
Episode 802 | Reward: 2.00
Episode 803 | Reward: 2.00
Episode 804 | Reward: 2.00
Episode 805 | Reward: 2.00
Episode 806 | Reward: 2.00
Episode 807 | Reward: 2.00
Episode 808 | Reward: 2.00
Episode 809 | Reward: 2.00
Episode 810 | Reward: 2.00
Episode 811 | Reward: 2.00
Episode 812 | Reward: 2.00
Episode 813 | Reward: 2.00
Episode 814 | Reward: 2.00
Episode 815 | Reward: 2.00
Episode 816 | Reward: 2.00
Episode 817 | Reward: 2.00
Episode 818 | Reward: 2.00
Episode 819 | Reward: 2.00
Episode 820 | Reward: 2.00
Episode 821 | Reward: 2.00
Episode 822 | Reward: 2.00
Episode 823 | Reward: 2.00
Episode 824 | Reward: 2.00
Episode 825 | Reward: 2.00
Episode 826 | Reward: 2.00
Episode 827 | Reward: 2.00
Episode 828 | Reward: 2.00
Episode 829 | Reward: 2.00
Episode 830 | Reward: 2.00
Episode 831 | Reward: 2.00
Episode 832 | Reward: 2.00
Episode 833 | Reward: 2.00
Episode 834 | Reward: 2.00
Episode 835 | Reward: 2.00
Episode 836 | Reward: 2.00
Episode 837 | Reward: 2.00
Episode 838 | Reward: 2.00
Episode 839 | Reward: 2.00
Episode 840 | Reward: 2.00
